phase,matrix,variable,x_label,x_value,y_label,r=1,r=2,r=3,r=4,r=5,r=6
FCC,B,Cr,x_Cr,0.18,λ·B,0.20320844121926657,0.002549242238139186,0.16543179546625952,-0.004589316085949122,-0.19052080733127053,-0.15656243726554891
FCC,B,Cr,x_Cr,0.19,λ·B,0.26060720409648824,-0.09842549089209111,0.06512505750030008,-0.03892312137351208,-0.2680717181026811,-0.18358134614666036
FCC,B,Cr,x_Cr,0.2,λ·B,0.13393432207739117,-0.06127206150487834,0.03226615201088222,-0.12689011963761992,-0.2874121538418424,-0.2638181218681726
FCC,B,Cr,x_Cr,0.21,λ·B,0.004876680376298491,0.02371370610498866,0.03653816655318942,-0.10659827188261348,-0.27038835436579695,-0.1388030449717724
FCC,B,Cr,x_Cr,0.22,λ·B,-0.02208360217509016,0.03902689618271716,0.0317143115682373,-0.11544859993610766,-0.1911641690787658,-0.0024428194962930103
FCC,B,Cr,x_Cr,0.23,λ·B,0.16126806247091222,-0.07076739700494908,-0.016053329186013696,-0.138463674636888,-0.22007031369485763,0.05188929627203461
FCC,B,Cr,x_Cr,0.24,λ·B,0.17283723494735947,-0.21272654533895277,-0.10052565194317276,-0.1279438863280901,-0.2830411440234555,-0.1525366979830912
FCC,B,Cr,x_Cr,0.25,λ·B,0.038478650375689,-0.19248244568767958,-0.08882555073895156,-0.20154041379543744,-0.2685706549655835,-0.21506599525114325
FCC,B,Cr,x_Cr,0.26,λ·B,-0.10363223868002547,-0.14927810519543147,-0.06870845343313482,-0.21426233986556975,-0.2148460897608765,-0.03370744456635034
FCC,B,Cr,x_Cr,0.27,λ·B,-0.040116935189395575,-0.09963369180390409,-0.10139442768102229,-0.2584073572610902,-0.11000348825305728,0.10958434662243696
FCC,B,Cr,x_Cr,0.28,λ·B,0.1317313567762946,-0.15503075927959747,-0.15491111305291305,-0.22286345205332328,-0.138226730709929,0.0007472396909501246
FCC,B,Cr,x_Cr,0.29,λ·B,0.15909541283845957,-0.17299798035527741,-0.17917640101059712,-0.01883938792936656,-0.15392207282018808,-0.1767876785225059
FCC,B,Cr,x_Cr,0.3,λ·B,0.031630768644279765,-0.044626642533125246,-0.12180428611639021,-0.12353978694472319,-0.09638387686263666,-0.1784488793737975
FCC,B,Cr,x_Cr,0.31,λ·B,-0.06870019125157141,0.03532961469467705,-0.09544164932944971,-0.21698342683585958,-0.07558094455293746,-0.05316318671618959
FCC,B,Cr,x_Cr,0.32,λ·B,0.007378672960932067,-0.035535852820576926,-0.12157980175393973,-0.12036075329931065,-0.026575824054636966,0.04254246785263726
FCC,B,Cr,x_Cr,0.33,λ·B,0.08065019582852245,-0.10350619856640206,-0.1569696655369424,-0.1876327855915847,-0.024305891961183945,0.09212437045980179
FCC,B,Cr,x_Cr,0.34,λ·B,0.07643190653727608,-0.12710447683977222,-0.1334869636458071,-0.20487211677673423,-0.07364566348108663,0.08582046542500929
FCC,B,Cr,x_Cr,0.35,λ·B,-0.023918635455551958,-0.02826434578774555,-0.08374501787192296,-0.13954842314482882,-0.029604428631156445,0.0030922215105489118
FCC,B,Cr,x_Cr,0.36,λ·B,-0.030954925997679697,0.11805865590914749,0.023324187070874906,-0.13578658870259805,0.05849333835774434,0.14762420179494373
FCC,B,Cr,x_Cr,0.37,λ·B,0.11090852516994852,0.03947295777546153,0.011668991446861869,-0.0490899809537667,0.06267911408591986,0.26796598647808995
FCC,B,Cr,x_Cr,0.38,λ·B,0.2085000566788442,-0.16493083825061644,-0.06454596307219293,-0.058473726052099044,0.019537954316460115,-0.014712595015919623
FCC,B,Cr,x_Cr,0.39,λ·B,0.1714333108352305,-0.29262208131954076,-0.037436080712208754,-0.06595405278690283,-0.0650062763134683,-0.20205520573345365
